timestamp,accel_x,accel_y,accel_z
1637208701804,101.5442,-1.8969,-19.3647
1637208701820,102.9689,-1.7019,-22.6377
1637208701836,102.862,-3.4215,-22.7831
1637208701850,102.5949,-4.3434,-20.4012
1637208701866,103.1648,-4.2547,-18.1829
1637208701882,103.521,-1.241,-20.4557
1637208701898,105.3552,-1.3296,-23.8923
1637208701912,107.4923,-1.6133,-23.0377
1637208701928,111.0896,-2.8719,-22.0194
1637208701944,118.1061,-4.4852,-23.3286
1637208701958,124.1254,-6.5239,-23.8377
1637208701974,129.3967,-5.7971,-24.7832
1637208701990,137.1078,-3.2265,-24.9105
1637208702004,134.1872,-3.457,-28.638
1637208702020,114.9896,-8.8108,-28.5471
1637208702036,96.0948,-14.1647,-21.9467
1637208702050,84.6617,-17.9762,-12.4371
1637208702066,76.3095,-17.7635,-5.7458
1637208702082,66.8888,-16.6289,1.1273
1637208702096,61.8668,-14.0052,4.5457
1637208702112,65.8915,-10.105,7.9641
1637208702128,74.7424,-7.9776,4.6184
1637208702142,88.5618,-9.9986,-1.6728
1637208702158,99.9949,-12.4805,-8.6369
1637208702174,103.4319,-14.8738,-13.7826
1637208702188,104.8032,-14.6966,-15.5827
1637208702204,102.7908,-13.2251,-19.0011
1637208702220,100.1195,-12.7642,-22.7468
1637208702234,99.0866,-12.3564,-22.8195
1637208702250,100.2442,-12.6756,-21.3103
1637208702266,103.2716,-11.6473,-22.5104
1637208702282,103.2538,-9.1477,-23.365
1637208702296,100.2264,-8.4917,-23.6923
1637208702312,97.4839,-7.7294,-23.0559
1637208702328,95.2044,-6.2403,-22.4922
1637208702342,94.5811,-5.3716,-22.4558
1637208702358,94.5989,-5.7084,-21.5285
1637208702374,94.4386,-6.3644,-20.8194
1637208702388,93.0674,-6.4885,-18.5829
1637208702404,93.1386,-6.648,-19.892
1637208702420,92.2304,-5.6021,-21.2194
1637208702434,91.9276,-4.5561,-20.6557
1637208702450,91.9988,-3.2974,-21.8012
1637208702466,92.9961,-3.9002,-25.2014
1637208702480,92.4797,-4.6447,-27.2925
1637208702496,91.1975,-4.5738,-26.5288
1637208702512,89.1139,-6.2935,-27.2743
1637208702526,87.5289,-7.2153,-24.9651
1637208702542,88.1522,-6.2048,-24.2559
1637208702558,90.4495,-7.2508,-25.7833
1637208702572,94.7414,-7.5699,-25.3469
1637208702588,98.7661,-8.2081,-24.2377
1637208702604,100.8141,-9.9454,-24.2377
1637208702618,101.8826,-10.2645,-24.6923
1637208702634,105.3909,-8.4386,-26.1106
1637208702650,114.2239,-7.2685,-26.5288
1637208702666,127.8474,-7.8713,-25.8197
1637208702680,140.8298,-7.8003,-26.2197
1637208702696,144.3381,-8.5449,-34.0929
1637208702712,129.3611,-11.6828,-35.7657
1637208702726,110.4307,-13.4733,-28.9471
1637208702742,96.8784,-9.1299,-21.6921
1637208702758,84.0384,-3.8647,-11.7825
1637208702772,70.7177,0.2127,-3.582
1637208702788,63.0956,1.1346,-0.6182
1637208702804,69.4711,2.3933,-1.0182
1637208702818,87.1905,1.5423,-3.2002
1637208702834,105.8183,-1.0282,-10.7097
1637208702850,116.2897,-4.7866,-18.0556
1637208702864,117.1445,-6.8608,-21.8012
1637208702880,117.1623,-9.0945,-21.5649
1637208702896,110.2526,-14.0052,-15.6918
1637208702910,100.5825,-16.948,-9.5096
1637208702926,94.0112,-13.8279,-9.0005
1637208702942,92.0523,-12.1614,-9.946
1637208702956,90.3605,-10.4418,-11.5097
1637208702972,89.8084,-9.6086,-14.1099
1637208702988,91.7673,-7.9422,-16.8737
1637208703002,92.6043,-7.4281,-18.3465
1637208703018,92.6399,-6.258,-18.7102
1637208703034,91.6961,-5.7262,-18.5465
1637208703050,90.0043,-3.9179,-18.9102
1637208703064,88.1166,-3.7761,-17.3101
1637208703080,87.8495,-4.6093,-14.9827
1637208703096,88.918,-6.3289,-14.9645
1637208703110,93.8153,-7.4812,-15.0554
1637208703126,97.288,-8.084,-16.4191
1637208703142,97.5729,-7.5521,-19.1647
1637208703156,97.8935,-6.3644,-20.6921
1637208703172,100.8319,-3.5811,-23.5468
1637208703188,107.4923,-2.0033,-27.6198
1637208703202,111.4636,-3.3861,-30.8927
1637208703218,113.5828,-4.8929,-29.8381
1637208703234,114.117,-4.9284,-26.0924
1637208703248,117.1623,-2.3224,-26.1288
1637208703264,121.1692,-1.0105,-29.6381
1637208703280,130.6433,-2.6238,-34.2747
1637208703294,140.6517,-5.9744,-35.4384
1637208703310,131.6406,-7.2508,-34.3292
1637208703326,104.7676,-8.5272,-27.8743
1637208703340,79.0164,-10.7432,-22.1649
1637208703356,62.0271,-14.7675,-16.6009
1637208703372,52.8913,-17.7103,-3.0002
1637208703386,51.4844,-21.1496,8.4187
1637208703402,62.7394,-21.3091,8.8732
1637208703418,84.7152,-19.5718,1.0182
1637208703434,108.0265,-18.2067,-6.7458
1637208703448,118.2842,-20.2809,-15.019
1637208703464,117.0554,-18.7563,-25.5833
1637208703480,110.7868,-15.1398,-24.2559
1637208703494,101.5264,-16.9657,-15.7645
1637208703510,96.2195,-14.3597,-13.2917
1637208703526,94.7057,-8.8995,-15.4918
1637208703540,92.0523,-5.5134,-17.3283
1637208703556,89.381,-7.0026,-19.6193
1637208703572,89.7728,-6.8608,-21.0012
1637208703586,90.9659,-5.9389,-20.0375
1637208703602,90.4495,-5.6375,-18.8738
1637208703618,87.9919,-5.8503,-19.2193
1637208703632,86.3713,-7.8535,-20.4012
1637208703648,87.796,-9.5731,-20.6012
1637208703664,87.8673,-11.1332,-22.2376
